year,scope,THC,H,N,N_eff,N_hh,N_eff_count,G
1993,South America,,1.563849,4.7772,2.0,3.0963,,0.322962
1993,Africa,,3.20132,24.5649,13.0,17.1527,,0.0583
1993,Oceania,,0.73436,2.0841,2.0,1.5652,,0.638884
1994,Global,0.07606,3.45688,31.71801,13.14754,13.1475,14.0,
1994,Europe,,2.61413,13.6553,10.0,7.9123,,0.126386
1994,Asia,,2.870185,17.6403,13.0,11.6253,,0.086019
1994,North America,,0.842811,2.3229,3.0,1.5815,,0.632326
1994,South America,,1.601732,4.9616,3.0,3.2038,,0.312129
1994,Africa,,3.11874,22.6179,13.0,13.9783,,0.071539
1994,Oceania,,0.676319,1.9666,2.0,1.6954,,0.589826
1995,Global,0.0733,3.48868,32.74268,13.64188,13.6426,13.0,
1995,Europe,,2.594073,13.3842,10.0,7.7227,,0.129489
1995,Asia,,2.925358,18.6409,14.0,12.8754,,0.077668
1995,North America,,0.864488,2.3738,3.0,1.6073,,0.622145
1995,South America,,1.724474,5.6096,3.0,3.8975,,0.256578
1995,Africa,,2.953574,19.1744,11.0,10.6122,,0.094231
1995,Oceania,,0.853886,2.3488,2.0,1.7302,,0.577975
1996,Global,0.06782,3.57534,35.70668,14.74387,14.7449,14.0,
1996,Europe,,2.669352,14.4306,13.0,8.3416,,0.119882
1996,Asia,,3.085426,21.8768,15.0,15.5362,,0.064366
1996,North America,,0.891931,2.4398,3.0,1.6095,,0.621323
1996,South America,,1.703739,5.4945,4.0,3.7244,,0.268497
1996,Africa,,3.104235,22.2921,12.0,12.6581,,0.079001
1996,Oceania,,0.748773,2.1144,2.0,1.6278,,0.614345
1997,Global,0.07036,3.53686,34.35876,14.21341,14.2126,15.0,
1997,Europe,,2.624989,13.8044,11.0,7.8808,,0.126891
1997,Asia,,3.046438,21.0403,15.0,14.8435,,0.06737
1997,North America,,0.933698,2.5439,3.0,1.6709,,0.598464
1997,South America,,1.692672,5.434,3.0,3.4867,,0.286805
1997,Africa,,3.006825,20.2231,13.0,10.0408,,0.099594
1997,Oceania,,0.752664,2.1226,2.0,1.6356,,0.611392
1998,Global,0.06848,3.55019,34.81986,14.60255,14.6028,15.0,
1998,Europe,,2.640848,14.0251,11.0,8.1838,,0.122193
1998,Asia,,3.0672,21.4817,16.0,15.1055,,0.066201
1998,North America,,0.898165,2.4551,3.0,1.6579,,0.603176
1998,South America,,1.695622,5.45,4.0,3.7965,,0.263404
1998,Africa,,3.03834,20.8706,11.0,11.0518,,0.090483
1998,Oceania,,0.869917,2.3867,2.0,1.6926,,0.590812
1999,Global,0.07157,3.53062,34.14507,13.97164,13.9723,15.0,
1999,Europe,,2.628548,13.8536,11.0,8.2983,,0.120507
1999,Asia,,3.058868,21.3034,16.0,14.7617,,0.067743
1999,North America,,0.914387,2.4952,3.0,1.6684,,0.59936
1999,South America,,1.830501,6.237,4.0,4.3587,,0.229426
1999,Africa,,3.185822,24.1872,13.0,14.0862,,0.070991
1999,Oceania,,0.82264,2.2765,2.0,1.6732,,0.597662
2000,Global,0.06746,3.56481,35.33283,14.82348,14.8236,14.0,
2000,Europe,,2.649847,14.1519,12.0,8.7062,,0.114861
2000,Asia,,3.067265,21.4831,16.0,15.2675,,0.065498
2000,North America,,0.966588,2.629,3.0,1.7053,,0.58642
2000,South America,,1.889014,6.6128,5.0,4.7063,,0.212482
2000,Africa,,3.067163,21.4809,12.0,10.7842,,0.092728
2000,Oceania,,0.709731,2.0334,2.0,1.5367,,0.650731
2001,Global,0.06856,3.54153,34.51954,14.58542,14.5858,14.0,
2001,Europe,,2.670177,14.4425,10.0,8.911,,0.11222
2001,Asia,,3.054989,21.2209,15.0,14.6061,,0.068465
2001,North America,,0.954789,2.5981,3.0,1.7429,,0.573756
2001,South America,,1.905378,6.7219,5.0,4.7925,,0.208659
2001,Africa,,3.115979,22.5555,13.0,11.6543,,0.085805
2001,Oceania,,0.705038,2.0239,2.0,1.5843,,0.631203
2002,Global,0.06405,3.57091,35.54877,15.61214,15.6128,14.0,
2002,Europe,,2.701485,14.9018,12.0,9.3699,,0.106725
2002,Asia,,3.070202,21.5463,16.0,14.9339,,0.066962
2002,North America,,0.908222,2.4799,3.0,1.7028,,0.587276
2002,South America,,1.663468,5.2776,3.0,3.3891,,0.295062
2002,Africa,,3.10174,22.2366,14.0,10.6977,,0.093478
2002,Oceania,,0.79725,2.2194,2.0,1.6475,,0.606967
2003,Global,0.0585,3.64655,38.3423,17.09378,17.094,16.0,
2003,Europe,,2.71694,15.1339,12.0,9.3903,,0.106493
2003,Asia,,3.098637,22.1677,14.0,14.9808,,0.066752
2003,North America,,0.966513,2.6288,3.0,1.8032,,0.554558
2003,South America,,1.91601,6.7938,5.0,5.0886,,0.19652
2003,Africa,,3.068231,21.5038,15.0,11.0964,,0.090119
2003,Oceania,,0.764113,2.1471,2.0,1.6467,,0.607258
2004,Global,0.05779,3.67566,39.47469,17.30306,17.304,15.0,
2004,Europe,,2.685302,14.6626,10.0,8.8164,,0.113424
2004,Asia,,3.086982,21.9108,15.0,14.9005,,0.067112
2004,North America,,1.00756,2.7389,3.0,1.7996,,0.555675
2004,South America,,1.885727,6.5911,4.0,4.9414,,0.202371
2004,Africa,,3.134007,22.9658,14.0,12.3089,,0.081242
2004,Oceania,,0.792792,2.2096,2.0,1.6622,,0.601611
2005,Global,0.05475,3.70484,40.64357,18.2634,18.2648,16.0,
2005,Europe,,2.730667,15.3431,12.0,9.417,,0.106191
2005,Asia,,3.09734,22.139,15.0,15.2307,,0.065657
2005,North America,,0.968792,2.6348,3.0,1.7725,,0.564166
2005,South America,,1.860532,6.4272,5.0,4.7754,,0.209409
2005,Africa,,3.082774,21.8188,12.0,11.4657,,0.087216
2005,Oceania,,0.769007,2.1576,2.0,1.5902,,0.628859
2006,Global,0.05337,3.72635,41.52724,18.73584,18.7371,16.0,
2006,Europe,,2.706738,14.9803,12.0,9.1448,,0.109352
2006,Asia,,3.164108,23.6676,16.0,17.1,,0.05848
2006,North America,,1.016729,2.7641,3.0,1.8051,,0.553992
2006,South America,,1.858413,6.4135,5.0,4.7138,,0.212145
2006,Africa,,3.15351,23.4181,13.0,12.213,,0.08188
2006,Oceania,,0.749869,2.1167,2.0,1.5798,,0.632985
2007,Global,0.05222,3.73676,41.96182,19.14835,19.1498,15.0,
2007,Europe,,2.736525,15.4333,13.0,9.351,,0.10694
2007,Asia,,3.111317,22.4506,16.0,16.0404,,0.062342
2007,North America,,1.057958,2.8805,3.0,1.838,,0.544062
2007,South America,,1.9551,7.0646,5.0,5.4826,,0.182394
2007,Africa,,3.210967,24.8031,14.0,12.8654,,0.077728
2007,Oceania,,0.749113,2.1151,2.0,1.579,,0.633293
2008,Global,0.04956,3.76293,43.07439,20.17921,20.1776,15.0,
2008,Europe,,2.766572,15.904,13.0,10.2099,,0.097945
2008,Asia,,3.106569,22.3443,16.0,15.6162,,0.064036
2008,North America,,1.010302,2.7464,3.0,1.7913,,0.558256
2008,South America,,1.900412,6.6886,5.0,5.0274,,0.19891
2008,Africa,,3.216682,24.9452,14.0,13.8937,,0.071975
2008,Oceania,,0.732816,2.0809,2.0,1.5285,,0.654245
2009,Global,0.04722,3.78692,44.12034,21.17787,21.1775,16.0,
2009,Europe,,2.75092,15.657,12.0,10.1667,,0.09836
2009,Asia,,3.095732,22.1034,13.0,15.4116,,0.064886
2009,North America,,1.030196,2.8016,3.0,1.8149,,0.551004
2009,South America,,1.846588,6.3382,5.0,4.5443,,0.220058
2009,Africa,,3.178955,24.0216,12.0,13.1628,,0.075972
2009,Oceania,,0.726996,2.0689,2.0,1.5548,,0.643173
2010,Global,0.04628,3.80137,44.76226,21.60869,21.6076,17.0,
2010,Europe,,2.733085,15.3803,12.0,9.9904,,0.100096
2010,Asia,,3.083167,21.8274,14.0,15.1369,,0.066064
2010,North America,,0.993865,2.7017,3.0,1.7641,,0.566863
2010,South America,,1.82127,6.1797,4.0,4.4843,,0.222998
2010,Africa,,3.181407,24.0806,14.0,13.2706,,0.075355
2010,Oceania,,0.69881,2.0114,2.0,1.4736,,0.678592
2011,Global,0.0468,3.79637,44.53912,21.36713,21.3675,17.0,
2011,Europe,,2.737985,15.4558,12.0,10.1197,,0.098817
2011,Asia,,3.087744,21.9276,14.0,14.9832,,0.066741
2011,North America,,0.984879,2.6775,3.0,1.7434,,0.573584
