time_window,from_country,to_country,weight,degree,strength,p,alpha,significant
1991-1995,RS,MK,6,7,13,0.4615384615384615,0.0243740740518218,1
1991-1995,RU,MN,10,6,16,0.625,0.007415771484375,1
1991-1995,PT,MO,8,5,13,0.6153846153846154,0.0218829872903609,1
1991-1995,GB,MT,15,7,21,0.7142857142857143,0.0005439910241481,1
1991-1995,FR,MX,46,43,555,0.0828828828828828,0.0264144496792563,1
1991-1995,GB,MX,58,43,555,0.1045045045045045,0.0096975725119532,1
1991-1995,US,MX,160,43,555,0.2882882882882883,6.262860311054156e-07,1
1991-1995,GB,MY,82,27,245,0.3346938775510204,2.5035687445385183e-05,1
1991-1995,US,MY,78,27,245,0.3183673469387755,4.702297004274747e-05,1
1991-1995,GB,NG,20,27,76,0.2631578947368421,0.0003562339470422,1
1991-1995,US,NG,10,27,76,0.131578947368421,0.0255263620547773,1
1991-1995,BE,NL,43,78,656,0.0655487804878048,0.005405811601595,1
1991-1995,DE,NL,62,78,656,0.0945121951219512,0.000478586706935,1
1991-1995,ES,NL,27,78,656,0.0411585365853658,0.0393100926454232,1
1991-1995,FR,NL,27,78,656,0.0411585365853658,0.0393100926454232,1
1991-1995,GB,NL,73,78,656,0.111280487804878,0.0001134705302981,1
1991-1995,IT,NL,29,78,656,0.0442073170731707,0.0307613231509314,1
1991-1995,US,NL,96,78,656,0.1463414634146341,5.11543355049873e-06,1
1991-1995,DE,NO,21,46,201,0.1044776119402985,0.006973328841494,1
1991-1995,GB,NO,26,46,201,0.1293532338308457,0.0019628612749564,1
1991-1995,SE,NO,23,46,201,0.1144278606965174,0.004217717814319,1
1991-1995,US,NO,33,46,201,0.1641791044776119,0.0003126763932883,1
1991-1995,IN,NP,9,11,24,0.375,0.0090949470177292,1
1991-1995,AU,NZ,52,41,278,0.1870503597122302,0.0002526653740919,1
1991-1995,GB,NZ,66,41,278,0.237410071942446,1.9572333192501223e-05,1
1991-1995,US,NZ,49,41,278,0.1762589928057553,0.0004281810638529,1
1991-1995,IN,OM,6,14,27,0.2222222222222222,0.0381172795696671,1
1991-1995,BR,PE,16,32,124,0.1290322580645161,0.013805882729511,1
1991-1995,ES,PE,14,32,124,0.1129032258064516,0.0243837782355183,1
1991-1995,US,PE,19,32,124,0.1532258064516129,0.0057649564535924,1
1991-1995,ID,PH,13,21,71,0.1830985915492957,0.0175143045358026,1
1991-1995,US,PH,14,21,71,0.1971830985915492,0.0123688732487524,1
1991-1995,GB,PK,14,17,50,0.28,0.0052157881450144,1
1991-1995,US,PK,19,17,50,0.38,0.0004767240170682,1
1991-1995,DE,PL,21,41,230,0.0913043478260869,0.0217139085155735,1
1991-1995,GB,PL,19,41,230,0.0826086956521739,0.0317822596379609,1
1991-1995,US,PL,50,41,230,0.217391304347826,5.518064383603559e-05,1
1991-1995,US,PR,41,17,64,0.640625,7.74044256621107e-08,1
1991-1995,JO,PS,8,13,31,0.2580645161290322,0.0278223433721395,1
1991-1995,BR,PT,44,37,476,0.0924369747899159,0.0304484077892991,1
1991-1995,FR,PT,51,37,476,0.1071428571428571,0.0169102949978534,1
1991-1995,GB,PT,105,37,476,0.2205882352941176,0.0001269434941506,1
1991-1995,US,PT,66,37,476,0.1386554621848739,0.004638403694981,1
1991-1995,FR,RO,16,18,64,0.25,0.0075169468182139,1
1991-1995,MD,RO,13,18,64,0.203125,0.0210684912390153,1
1991-1995,BA,RS,12,18,53,0.2264150943396226,0.0127243551150302,1
1991-1995,KZ,RU,30,53,319,0.0940438871473354,0.0058826404428186,1
1991-1995,UA,RU,82,53,319,0.2570532915360501,1.9489400197615227e-07,1
1991-1995,US,RU,21,53,319,0.0658307210031347,0.0289821241831371,1
1991-1995,UZ,RU,19,53,319,0.0595611285266457,0.041038334443052,1
1991-1995,EG,SA,22,32,134,0.1641791044776119,0.003850436392786,1
1991-1995,GB,SA,13,32,134,0.0970149253731343,0.0422763739267757,1
1991-1995,US,SA,33,32,134,0.2462686567164179,0.0001562118004434,1
1991-1995,GB,SD,5,19,31,0.1612903225806451,0.0421705994456537,1
1991-1995,CN,SE,22,70,511,0.0430528375733855,0.0480030873529556,1
1991-1995,DE,SE,31,70,511,0.060665362035225,0.0133230380929372,1
1991-1995,FR,SE,22,70,511,0.0430528375733855,0.0480030873529556,1
1991-1995,GB,SE,41,70,511,0.0802348336594911,0.003116808275251,1
1991-1995,US,SE,92,70,511,0.1800391389432485,1.1264851614409605e-06,1
1991-1995,AU,SG,28,28,208,0.1346153846153846,0.0201672923414288,1
1991-1995,CN,SG,28,28,208,0.1346153846153846,0.0201672923414288,1
1991-1995,GB,SG,45,28,208,0.2163461538461538,0.0013846986695124,1
1991-1995,US,SG,52,28,208,0.25,0.0004233056952178,1
1991-1995,CZ,SK,11,15,34,0.3235294117647059,0.0042022788327136,1
1991-1995,FR,SY,8,14,32,0.25,0.0237572640180587,1
1991-1995,US,TH,41,29,175,0.2342857142857143,0.0005673734260782,1
1991-1995,FR,TN,26,20,55,0.4727272727272727,5.232037639852004e-06,1
1991-1995,GB,TR,82,37,348,0.2356321839080459,6.293411605146301e-05,1
1991-1995,US,TR,153,37,348,0.4396551724137931,8.798187781481151e-10,1
1991-1995,US,TW,392,20,443,0.8848758465011287,1.4526552152578253e-18,1
1991-1995,RU,UA,164,28,217,0.7557603686635944,2.958255395649195e-17,1
1991-1995,GB,UG,10,11,27,0.3703703703703703,0.0097915528461043,1
1991-1995,US,UG,7,11,27,0.2592592592592592,0.0497350220760971,1
1991-1995,BR,US,434,149,8941,0.048540431719047,0.0006335341249077,1
1991-1995,CA,US,676,149,8941,0.075606755396488,8.847099833600405e-06,1
1991-1995,CH,US,201,149,8941,0.0224807068560563,0.0345581103923253,1
1991-1995,CN,US,515,149,8941,0.0575998210490996,0.00015375642292,1
1991-1995,DE,US,495,149,8941,0.0553629347947656,0.0002183822654087,1
1991-1995,ES,US,290,149,8941,0.0324348506878425,0.00759752497334,1
1991-1995,FR,US,293,149,8941,0.0327703836259926,0.00721736613696,1
1991-1995,GB,US,740,149,8941,0.0827647914103567,2.799923195219144e-06,1
1991-1995,IN,US,332,149,8941,0.0371323118219438,0.0036970788636844,1
1991-1995,IT,US,268,149,8941,0.0299742758080751,0.011064230721016,1
1991-1995,JP,US,340,149,8941,0.0380270663236774,0.0032218269671984,1
1991-1995,KR,US,355,149,8941,0.0397047310144279,0.0024883347863683,1
1991-1995,MX,US,281,149,8941,0.0314282518733922,0.0088614741776369,1
